problem,ell,num_data,NFE_mean,NFE_std,NFE_min,NFE_Q1,NFE_med,NFE_Q3,NFE_max
MK,50,100,4871.911,751.229863343,3682.2,4279.5,4770.95,5363.075,7742.4
MK,100,100,10715.728,1716.4059616,8012.8,9649.225,10516.65,11870.9,15829.1
MK,200,100,24349.786,3045.69946439,19298.5,22160.925,23802.55,26414.15,33205.0
MK,400,100,53640.908,6929.03811004,40388.5,47966.525,53677.15,57479.225,77430.0
CYC,52,100,7967.184,1574.48721232,4338.2,6802.25,7816.35,8935.4,12627.5
CYC,100,100,17819.268,3881.24937905,13082.4,14845.8,16981.65,19890.4,32651.7
CYC,200,100,46370.892,7691.1902131,32187.2,41255.725,46316.1,51692.475,63863.1
CYC,400,100,113154.88,13687.1976994,86791.1,102332.325,116125.75,121325.05,144241.3
FTRAP,60,100,13120.295,1271.57471761,10612.7,12150.6,12949.95,14134.275,15914.8
FTRAP,120,100,34529.01,2225.558687,30156.8,32870.25,34464.2,35793.425,43019.3
FTRAP,240,100,90209.225,3187.27313199,83139.2,87960.625,89933.4,91912.55,100462.4
FTRAP,480,10,243692.18,6035.72259333,236019.4,239981.775,241799.9,246419.1,255768.2
NKs1,50,100,17240.291,13662.6175189,4762.0,9586.7,12464.65,19245.5,86139.1
NKs1,100,100,50242.342,23144.3840159,22093.1,32474.05,43078.4,62809.25,177730.1
NKs1,200,100,208146.766,127362.652823,71743.5,134313.375,168835.1,248686.275,990582.3
NKs1,400,100,713730.122,376546.767315,259984.6,459370.3,631451.6,890647.775,2773967.5
NKs3,50,100,12504.383,7201.13964502,4872.4,7873.725,10193.3,14212.475,43480.2
NKs3,100,100,52348.624,35863.0361385,22017.4,31426.8,44091.15,58976.35,307458.5
NKs3,200,100,184944.857,102231.857025,84083.2,120252.3,146912.4,224121.95,556792.4
NKs3,400,100,533526.398,229977.009196,233367.7,349111.6,455810.7,675916.55,1303050.7
NKs5,50,100,3829.055,757.432711384,1.2,3414.25,3773.4,4279.6,5656.3
NKs5,100,100,9685.767,1300.03518399,7473.0,8786.8,9471.2,10558.375,13340.8
NKs5,200,100,24894.966,2979.56565929,19891.2,22718.25,24436.0,26697.225,34926.6
NKs5,400,100,59537.323,5102.48083779,50164.5,56016.25,58429.3,61727.15,80124.3
SAT,20,100,653.94616667,434.734963668,96.3,295.55,576.75,895.0,1919.1
SAT,50,100,15202.785,13435.9137886,2498.5,6503.425,10814.25,19304.75,69584.7
SAT,75,100,63827.715,55282.4988799,5628.6,22535.725,45143.35,91287.525,250273.3
SAT,100,100,192582.128,180028.231947,9624.7,70793.6,138277.05,250200.675,937932.9
SAT,200,98,6291281.76429,10689458.4115,241478.4,1300458.7,2521797.95,5388038.275,76824253.6
SPIN,36,100,2162.337,1809.78686611,370.6,1057.675,1662.45,2410.825,11883.0
SPIN,100,100,21054.407,15910.0208273,9147.4,12318.175,16664.15,23840.475,119156.3
SPIN,196,100,63905.95,43701.2672976,33021.6,41833.2,51028.7,70364.55,379971.7
SPIN,400,100,208889.709,103769.609275,121348.4,144689.325,162946.55,231125.475,586373.5
SPIN,784,100,683255.498,321360.413568,332273.6,479791.8,550779.25,781374.45,1966386.8
