problem,ell,num_data,NFE_mean,NFE_std,NFE_min,NFE_Q1,NFE_med,NFE_Q3,NFE_max
MK,50,100,5333.594,1062.56310277,3690.4,4356.95,5155.8,5921.325,9083.2
MK,100,100,12204.43,2677.00695813,7656.7,10275.4,11828.7,13675.375,19716.7
MK,200,100,26903.094,7136.46731729,16980.3,23295.225,25396.45,28560.7,70413.7
MK,400,100,55025.757,7912.11792008,40533.0,48135.7,53370.85,61459.525,81406.6
CYC,52,100,7380.653,1404.30114558,4725.7,6507.75,7468.75,8341.1,11008.0
CYC,100,100,17568.791,3271.19766483,9453.0,15808.05,17129.35,19368.85,26467.4
CYC,200,100,47219.527,8317.70914705,32785.8,41691.925,47383.4,52007.625,66182.9
CYC,400,100,123163.228,18768.4925856,73090.5,110535.425,121989.1,133483.95,178670.0
FTRAP,60,100,16315.073,1585.29896429,13022.6,15230.2,15949.4,17215.875,21524.6
FTRAP,120,100,47484.774,1922.69268125,43644.7,46323.025,47425.1,48263.475,53143.8
FTRAP,240,100,134435.655,3346.40271636,127083.0,132084.9,134638.2,136235.275,147459.4
FTRAP,480,100,354570.963,11402.3527179,341006.2,349108.95,351633.75,356722.925,417820.7
NKs1,50,99,16265.4131313,11017.4429795,5051.2,10335.55,13325.3,17356.05,72226.2
NKs1,100,100,54810.989,22822.2989623,27237.1,37030.65,49158.15,67820.1,143312.5
NKs1,200,100,230151.942,157942.272616,97908.9,146142.9,178984.0,248228.25,1259367.9
NKs1,400,100,767449.466,418047.313458,332115.9,467947.25,663536.65,919733.1,3020710.1
NKs3,50,100,12653.719,6052.6436698,5954.8,8654.9,11423.25,14257.225,48496.3
NKs3,100,100,50135.838,25313.1065842,23396.0,33936.35,43551.55,54701.95,181074.2
NKs3,200,100,175214.247,68746.0154709,86917.7,124941.275,157523.3,200376.45,401216.7
NKs3,400,100,550577.04,210770.090493,253549.0,395759.3,470190.5,689339.3,1432053.9
NKs5,50,100,3860.77,613.714379903,2887.7,3449.5,3755.3,4221.15,5560.7
NKs5,100,100,10205.246,1398.24287343,7895.7,9333.0,9842.75,10867.15,16946.4
NKs5,200,100,25315.458,2748.91448634,19414.6,23630.1,24705.4,26976.15,36572.7
NKs5,400,100,62073.0,6309.16648617,50906.2,57769.525,60920.2,65074.075,85292.2
SAT,20,100,647.58771429,444.439728836,88.9,301.05,523.9,876.075,2607.6
SAT,50,100,15335.918,12719.8888116,2632.7,6988.325,10997.9,20086.675,76541.8
SAT,75,100,68708.842,61834.735124,5117.2,26531.375,48296.05,89857.15,346725.8
SAT,100,100,214174.569,187628.611461,8639.2,73422.95,151698.6,287466.05,743472.5
SAT,200,98,7887640.03571,12470630.1619,270671.4,1763155.625,3340009.55,7864739.975,68750897.0
SPIN,36,100,1728.008,1096.71063118,436.3,984.525,1435.2,2203.275,7264.1
SPIN,100,100,18004.993,8573.26023602,10316.1,13008.425,15314.45,18882.1,61426.5
SPIN,196,100,68352.363,42368.1494775,36830.6,45601.8,53182.95,70825.2,273580.6
SPIN,400,100,233533.411,129191.080836,124217.7,168088.875,183058.05,251801.225,1022836.5
SPIN,784,100,863234.198,504984.222883,385347.6,567161.5,679184.85,954213.05,3822294.2
